dep_id,application_id,library,version,is_risky,risk_type,severity,explanation
DEP-0200,APP-004,matplotlib,1.5.7,False,NONE,NONE,No issues detected
DEP-0201,APP-005,moment,1.14.1,False,NONE,NONE,No issues detected
DEP-0202,APP-005,formidable,5.8.5,False,NONE,NONE,No issues detected
DEP-0203,APP-005,cheerio,3.15.7,True,UNMAINTAINED,HIGH,Library cheerio:3.15.7 last updated 2020-07-29 (2092 days ago). No security patches or maintenance activity.
DEP-0204,APP-005,bcrypt,1.9.8,False,NONE,NONE,No issues detected
DEP-0205,APP-005,mocha,4.10.8,False,NONE,NONE,No issues detected
DEP-0206,APP-005,nanoid,3.12.1,False,NONE,NONE,No issues detected
DEP-0207,APP-005,winston,1.4.10,True,VULNERABLE_DEPENDENCY,LOW,"Library winston:1.4.10 has CVE-2023-1150 (CVSS 3.6, LOW). Patch available: upgrade to 3.0.0"
DEP-0208,APP-005,sequelize,3.2.9,True,LICENSE_CONFLICT,CRITICAL,Library sequelize uses AGPL-3.0 license in proprietary application AnalyticsDashboard. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0209,APP-005,commander,2.13.9,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library commander:2.13.9 has CVE-2024-1126 (CVSS 9.5, CRITICAL). Patch available: upgrade to 4.0.0"
DEP-0210,APP-005,dotenv,4.4.4,False,NONE,NONE,No issues detected
DEP-0211,APP-005,setuptools,5.13.9,False,NONE,NONE,No issues detected
DEP-0212,APP-005,babel-core,5.15.3,True,VULNERABLE_DEPENDENCY,HIGH,"Library babel-core:5.15.3 has CVE-2024-1035 (CVSS 7.8, HIGH). No patch available yet."
DEP-0213,APP-005,node-fetch,2.8.7,False,NONE,NONE,No issues detected
DEP-0214,APP-005,morgan,5.10.6,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library morgan:5.10.6 has CVE-2025-1105 (CVSS 4.6, MEDIUM). No patch available yet."
DEP-0215,APP-005,multer,5.0.4,False,NONE,NONE,No issues detected
DEP-0216,APP-005,mongoose,1.3.9,False,NONE,NONE,No issues detected
DEP-0217,APP-005,nodemon,2.15.2,False,NONE,NONE,No issues detected
DEP-0218,APP-005,eslint,1.8.1,False,NONE,NONE,No issues detected
DEP-0219,APP-005,next,4.15.4,False,NONE,NONE,No issues detected
DEP-0220,APP-005,cors,5.12.7,False,NONE,NONE,No issues detected
DEP-0221,APP-005,knex,1.0.1,True,LICENSE_CONFLICT,HIGH,Library knex uses GPL-2.0 license in proprietary application AnalyticsDashboard. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0222,APP-005,chalk,1.0.9,True,VULNERABLE_DEPENDENCY,LOW,"Library chalk:1.0.9 has CVE-2022-1170 (CVSS 1.2, LOW). Patch available: upgrade to 4.0.0"
DEP-0223,APP-005,vue,1.5.4,False,NONE,NONE,No issues detected
DEP-0224,APP-005,react,4.12.5,False,NONE,NONE,No issues detected
DEP-0225,APP-005,typescript,4.8.1,False,NONE,NONE,No issues detected
DEP-0226,APP-005,puppeteer,1.12.4,False,NONE,NONE,No issues detected
DEP-0227,APP-005,inquirer,1.12.7,False,NONE,NONE,No issues detected
DEP-0228,APP-005,passport,1.11.8,False,NONE,NONE,No issues detected
DEP-0229,APP-005,apollo-server,5.1.6,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library apollo-server:5.1.6 has CVE-2025-1028 (CVSS 4.6, MEDIUM). Patch available: upgrade to 2.4.0"
DEP-0230,APP-005,react-dom,5.7.7,True,VULNERABLE_DEPENDENCY,HIGH,"Library react-dom:5.7.7 has CVE-2022-1194 (CVSS 7.1, HIGH). Patch available: upgrade to 6.0.0"
DEP-0231,APP-005,angular-core,5.4.9,False,NONE,NONE,No issues detected
DEP-0232,APP-005,jest,5.2.1,False,NONE,NONE,No issues detected
DEP-0233,APP-005,hibernate-validator,5.4.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library hibernate-validator:5.4.5 has CVE-2021-1061 (CVSS 5.2, MEDIUM). No patch available yet."
DEP-0234,APP-005,spring-boot-starter,2.11.8,True,UNMAINTAINED,MEDIUM,Library spring-boot-starter:2.11.8 last updated 2023-07-18 (1008 days ago). No security patches or maintenance activity.
DEP-0235,APP-005,yargs,1.0.0,False,NONE,NONE,No issues detected
DEP-0236,APP-005,postgresql-jdbc,4.6.3,False,NONE,NONE,No issues detected
DEP-0237,APP-005,micrometer-core,1.10.4,False,NONE,NONE,No issues detected
DEP-0238,APP-005,helmet,1.9.5,False,NONE,NONE,No issues detected
DEP-0239,APP-005,protobuf-java,2.4.0,False,NONE,NONE,No issues detected
DEP-0240,APP-005,prettier,4.2.2,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency prettier:4.2.2 has CVE-2023-1187 (CVSS 5.6). Inherited via dependency chain — not directly declared by AnalyticsDashboard.
DEP-0241,APP-005,axios,4.0.1,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency axios:4.0.1 has CVE-2022-1196 (CVSS 4.2). Inherited via dependency chain — not directly declared by AnalyticsDashboard.
DEP-0242,APP-005,graphql,1.3.7,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency graphql:1.3.7 has CVE-2025-1158 (CVSS 0.7). Inherited via dependency chain — not directly declared by AnalyticsDashboard.
DEP-0243,APP-005,bull,3.3.1,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency bull:3.3.1 has CVE-2023-1113 (CVSS 0.2). Inherited via dependency chain — not directly declared by AnalyticsDashboard.
DEP-0244,APP-005,sharp,1.6.2,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency sharp:1.6.2 has CVE-2022-1098 (CVSS 6.0). Inherited via dependency chain — not directly declared by AnalyticsDashboard.
DEP-0245,APP-005,express,3.4.3,True,TRANSITIVE_VULNERABILITY,CRITICAL,Transitive dependency express:3.4.3 has CVE-2026-1078 (CVSS 9.4). Inherited via dependency chain — not directly declared by AnalyticsDashboard.
DEP-0246,APP-005,echo,4.6.2,False,NONE,NONE,No issues detected
DEP-0247,APP-005,testify,2.9.8,False,NONE,NONE,No issues detected
DEP-0248,APP-005,webpack,4.4.0,False,NONE,NONE,No issues detected
DEP-0249,APP-005,dayjs,2.9.0,False,NONE,NONE,No issues detected
DEP-0250,APP-005,mysql-connector-java,1.6.8,False,NONE,NONE,No issues detected
DEP-0251,APP-006,zap,4.6.3,False,NONE,NONE,No issues detected
DEP-0252,APP-006,protobuf-go,4.9.7,False,NONE,NONE,No issues detected
DEP-0253,APP-006,sarama,4.2.1,True,VULNERABLE_DEPENDENCY,LOW,"Library sarama:4.2.1 has CVE-2025-1192 (CVSS 2.3, LOW). Patch available: upgrade to 4.0.0"
DEP-0254,APP-006,pyjwt,2.0.4,True,VULNERABLE_DEPENDENCY,LOW,"Library pyjwt:2.0.4 has CVE-2024-1153 (CVSS 1.1, LOW). Patch available: upgrade to 5.0.0"
DEP-0255,APP-006,moment,3.15.9,False,NONE,NONE,No issues detected
DEP-0256,APP-006,testify,2.11.4,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library testify:2.11.4 has CVE-2025-1043 (CVSS 9.9, CRITICAL). Patch available: upgrade to 2.11.0"
DEP-0257,APP-006,crypto-go,5.1.10,False,NONE,NONE,No issues detected
DEP-0258,APP-006,python-dateutil,2.14.5,False,NONE,NONE,No issues detected
DEP-0259,APP-006,mux,4.10.1,True,VULNERABLE_DEPENDENCY,HIGH,"Library mux:4.10.1 has CVE-2025-1047 (CVSS 7.6, HIGH). Patch available: upgrade to 4.2.0"
DEP-0260,APP-006,logrus,5.6.9,True,UNMAINTAINED,HIGH,Library logrus:5.6.9 last updated 2023-01-07 (1200 days ago). No security patches or maintenance activity.
DEP-0261,APP-006,gorm,5.1.10,True,VULNERABLE_DEPENDENCY,LOW,"Library gorm:5.1.10 has CVE-2024-1193 (CVSS 1.2, LOW). Patch available: upgrade to 2.0.0"
DEP-0262,APP-006,go-jwt,5.2.3,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library go-jwt:5.2.3 has CVE-2025-1145 (CVSS 6.7, MEDIUM). Patch available: upgrade to 3.0.0"
DEP-0263,APP-006,aws-sdk-go,1.12.1,True,VULNERABLE_DEPENDENCY,HIGH,"Library aws-sdk-go:1.12.1 has CVE-2025-1130 (CVSS 7.1, HIGH). Patch available: upgrade to 3.0.0"
DEP-0264,APP-006,viper,2.6.2,False,NONE,NONE,No issues detected
DEP-0265,APP-006,resty,1.4.4,False,NONE,NONE,No issues detected
DEP-0266,APP-006,gson,4.2.9,False,NONE,NONE,No issues detected
DEP-0267,APP-006,spring-core,2.1.4,False,NONE,NONE,No issues detected
DEP-0268,APP-006,yaml-go,1.5.8,True,VULNERABLE_DEPENDENCY,HIGH,"Library yaml-go:1.5.8 has CVE-2024-1112 (CVSS 7.8, HIGH). Patch available: upgrade to 2.0.0"
DEP-0269,APP-006,fiber,1.4.8,True,UNMAINTAINED,HIGH,Library fiber:1.4.8 last updated 2020-11-12 (1986 days ago). No security patches or maintenance activity.
DEP-0270,APP-006,gin,5.3.6,False,NONE,NONE,No issues detected
DEP-0271,APP-006,json-iterator,3.5.4,True,LICENSE_CONFLICT,HIGH,Library json-iterator uses GPL-2.0 license in proprietary application MobileBackend. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0272,APP-006,numpy,4.3.1,True,VULNERABLE_DEPENDENCY,HIGH,"Library numpy:4.3.1 has CVE-2022-1148 (CVSS 7.4, HIGH). Patch available: upgrade to 6.0.0"
DEP-0273,APP-006,golangci-lint,5.1.7,True,UNMAINTAINED,HIGH,Library golangci-lint:5.1.7 last updated 2020-07-16 (2105 days ago). No security patches or maintenance activity.
DEP-0274,APP-006,pgx,1.2.2,False,NONE,NONE,No issues detected
DEP-0275,APP-006,aiohttp,2.9.2,False,NONE,NONE,No issues detected
DEP-0276,APP-006,go-redis,4.6.8,False,NONE,NONE,No issues detected
DEP-0277,APP-006,bcrypt-go,3.1.1,True,VULNERABLE_DEPENDENCY,LOW,"Library bcrypt-go:3.1.1 has CVE-2023-1121 (CVSS 2.5, LOW). Patch available: upgrade to 5.0.0"
DEP-0278,APP-006,fasthttp,2.2.7,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library fasthttp:2.2.7 has CVE-2021-1031 (CVSS 6.9, MEDIUM). No patch available yet."
DEP-0279,APP-006,chi,2.2.5,True,UNMAINTAINED,HIGH,Library chi:2.2.5 last updated 2022-05-19 (1433 days ago). No security patches or maintenance activity.
DEP-0280,APP-006,uuid-go,5.12.7,False,NONE,NONE,No issues detected
DEP-0281,APP-006,nats,1.3.0,False,NONE,NONE,No issues detected
DEP-0282,APP-006,yargs,1.2.10,False,NONE,NONE,No issues detected
DEP-0283,APP-006,tomcat-embed-core,1.1.6,False,NONE,NONE,No issues detected
DEP-0284,APP-006,colly,2.9.2,False,NONE,NONE,No issues detected
DEP-0285,APP-006,sqlx,2.1.6,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library sqlx:2.1.6 has CVE-2022-1030 (CVSS 6.2, MEDIUM). No patch available yet."
DEP-0286,APP-006,react-dom,3.6.1,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency react-dom:3.6.1 has CVE-2022-1166 (CVSS 7.2). Inherited via dependency chain — not directly declared by MobileBackend.
DEP-0287,APP-006,paramiko,3.9.1,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency paramiko:3.9.1 has CVE-2024-1177 (CVSS 8.3). Inherited via dependency chain — not directly declared by MobileBackend.
DEP-0288,APP-006,cors,1.7.6,True,UNMAINTAINED,HIGH,Transitive dependency cors:1.7.6 last updated 2022-08-19 (1341 days ago). Unmaintained transitive risk.
DEP-0289,APP-006,nats,1.5.6,False,NONE,NONE,No issues detected
DEP-0290,APP-006,commons-lang3,2.5.7,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency commons-lang3:2.5.7 has CVE-2025-1182 (CVSS 6.4). Inherited via dependency chain — not directly declared by MobileBackend.
DEP-0291,APP-006,jedis,2.7.1,False,NONE,NONE,No issues detected
DEP-0292,APP-006,go-jwt,4.12.3,False,NONE,NONE,No issues detected
DEP-0293,APP-006,inquirer,3.1.8,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency inquirer:3.1.8 has CVE-2022-1032 (CVSS 1.0). Inherited via dependency chain — not directly declared by MobileBackend.
DEP-0294,APP-006,logback-classic,4.10.8,False,NONE,NONE,No issues detected
DEP-0295,APP-006,uvicorn,2.0.8,False,NONE,NONE,No issues detected
DEP-0296,APP-006,bouncycastle-bcprov,3.10.8,True,TRANSITIVE_VULNERABILITY,CRITICAL,Transitive dependency bouncycastle-bcprov:3.10.8 has CVE-2021-1009 (CVSS 9.6). Inherited via dependency chain — not directly declared by MobileBackend.
DEP-0297,APP-006,coverage,3.7.2,False,NONE,NONE,No issues detected
DEP-0298,APP-006,pyjwt,4.5.1,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency pyjwt:4.5.1 has CVE-2025-1123 (CVSS 7.3). Inherited via dependency chain — not directly declared by MobileBackend.
DEP-0299,APP-006,uuid,4.3.1,False,NONE,NONE,No issues detected
DEP-0300,APP-006,mapstruct,4.7.8,False,NONE,NONE,No issues detected
DEP-0301,APP-007,pillow,4.7.4,False,NONE,NONE,No issues detected
DEP-0302,APP-007,viper,5.1.10,False,NONE,NONE,No issues detected
DEP-0303,APP-007,boto3,5.7.7,False,NONE,NONE,No issues detected
DEP-0304,APP-007,logback-classic,2.14.10,True,UNMAINTAINED,HIGH,Library logback-classic:2.14.10 last updated 2020-06-13 (2138 days ago). No security patches or maintenance activity.
DEP-0305,APP-007,mypy,3.2.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library mypy:3.2.5 has CVE-2022-1175 (CVSS 4.7, MEDIUM). Patch available: upgrade to 5.0.0"
DEP-0306,APP-007,certifi,3.2.1,False,NONE,NONE,No issues detected
DEP-0307,APP-007,twisted,3.9.3,False,NONE,NONE,No issues detected
DEP-0308,APP-007,markupsafe,1.7.1,True,VULNERABLE_DEPENDENCY,LOW,"Library markupsafe:1.7.1 has CVE-2022-1161 (CVSS 2.6, LOW). Patch available: upgrade to 3.0.0"
DEP-0309,APP-007,requests,1.13.7,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library requests:1.13.7 has CVE-2023-1124 (CVSS 4.9, MEDIUM). No patch available yet."
DEP-0310,APP-007,scikit-learn,4.6.9,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library scikit-learn:4.6.9 has CVE-2022-1008 (CVSS 5.1, MEDIUM). Patch available: upgrade to 4.3.0"
DEP-0311,APP-007,python-dateutil,4.2.0,False,NONE,NONE,No issues detected
DEP-0312,APP-007,werkzeug,2.15.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library werkzeug:2.15.5 has CVE-2024-1004 (CVSS 5.6, MEDIUM). No patch available yet."
DEP-0313,APP-007,spring-core,3.12.10,False,NONE,NONE,No issues detected
DEP-0314,APP-007,redis-py,1.10.8,False,NONE,NONE,No issues detected
DEP-0315,APP-007,wheel,4.5.5,False,NONE,NONE,No issues detected
DEP-0316,APP-007,safety,1.7.2,True,UNMAINTAINED,HIGH,Library safety:1.7.2 last updated 2022-10-10 (1289 days ago). No security patches or maintenance activity.
DEP-0317,APP-007,paramiko,3.15.7,True,VULNERABLE_DEPENDENCY,HIGH,"Library paramiko:3.15.7 has CVE-2023-1127 (CVSS 8.0, HIGH). Patch available: upgrade to 6.0.0"
DEP-0318,APP-007,helmet,4.2.3,False,NONE,NONE,No issues detected
DEP-0319,APP-007,pandas,1.2.7,False,NONE,NONE,No issues detected
DEP-0320,APP-007,pyjwt,5.4.3,True,VULNERABLE_DEPENDENCY,HIGH,"Library pyjwt:5.4.3 has CVE-2025-1123 (CVSS 7.3, HIGH). No patch available yet."
DEP-0321,APP-007,urllib3,4.2.0,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library urllib3:4.2.0 has CVE-2023-1140 (CVSS 6.0, MEDIUM). Patch available: upgrade to 3.0.0"
DEP-0322,APP-007,cryptography,3.4.5,False,NONE,NONE,No issues detected
DEP-0323,APP-007,psycopg2,3.5.6,False,NONE,NONE,No issues detected
DEP-0324,APP-007,bandit,5.2.4,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library bandit:5.2.4 has CVE-2023-1065 (CVSS 5.3, MEDIUM). Patch available: upgrade to 5.3.0"
DEP-0325,APP-007,matplotlib,5.2.0,False,NONE,NONE,No issues detected
DEP-0326,APP-007,rich,2.5.6,False,NONE,NONE,No issues detected
DEP-0327,APP-007,cobra,5.8.10,True,UNMAINTAINED,MEDIUM,Library cobra:5.8.10 last updated 2023-09-05 (959 days ago). No security patches or maintenance activity.
DEP-0328,APP-007,ansible-core,4.9.9,True,VULNERABLE_DEPENDENCY,LOW,"Library ansible-core:4.9.9 has CVE-2025-1114 (CVSS 2.6, LOW). Patch available: upgrade to 6.0.0"
DEP-0329,APP-007,pip,1.0.3,True,VULNERABLE_DEPENDENCY,HIGH,"Library pip:1.0.3 has CVE-2024-1184 (CVSS 8.6, HIGH). Patch available: upgrade to 3.0.0"
DEP-0330,APP-007,snakeyaml,2.14.7,True,VULNERABLE_DEPENDENCY,HIGH,"Library snakeyaml:2.14.7 has CVE-2024-1013 (CVSS 8.4, HIGH). Patch available: upgrade to 4.4.0"
DEP-0331,APP-007,six,4.15.9,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library six:4.15.9 has CVE-2023-1162 (CVSS 6.0, MEDIUM). Patch available: upgrade to 4.0.0"
DEP-0332,APP-007,redis,4.10.8,True,UNMAINTAINED,MEDIUM,Library redis:4.10.8 last updated 2023-06-29 (1027 days ago). No security patches or maintenance activity.
DEP-0333,APP-007,celery,5.7.9,True,VULNERABLE_DEPENDENCY,LOW,"Library celery:5.7.9 has CVE-2022-1110 (CVSS 3.4, LOW). Patch available: upgrade to 5.0.0"
DEP-0334,APP-007,setuptools,4.11.7,False,NONE,NONE,No issues detected
DEP-0335,APP-007,coverage,1.13.7,False,NONE,NONE,No issues detected
DEP-0336,APP-007,charset-normalizer,1.5.6,False,NONE,NONE,No issues detected
DEP-0337,APP-007,pytest,3.12.0,False,NONE,NONE,No issues detected
DEP-0338,APP-007,numpy,1.11.0,False,NONE,NONE,No issues detected
DEP-0339,APP-007,botocore,1.8.0,False,NONE,NONE,No issues detected
DEP-0340,APP-007,scipy,2.11.4,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency scipy:2.11.4 has CVE-2021-1037 (CVSS 4.7). Inherited via dependency chain — not directly declared by DevToolkit.
DEP-0341,APP-007,httpx,3.2.1,True,TRANSITIVE_VULNERABILITY,CRITICAL,Transitive dependency httpx:3.2.1 has CVE-2023-1097 (CVSS 9.7). Inherited via dependency chain — not directly declared by DevToolkit.
DEP-0342,APP-007,bouncycastle-bcprov,3.4.8,False,NONE,NONE,No issues detected
DEP-0343,APP-007,aiohttp,2.2.8,False,NONE,NONE,No issues detected
DEP-0344,APP-007,gunicorn,3.0.7,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency gunicorn:3.0.7 has CVE-2023-1101 (CVSS 3.8). Inherited via dependency chain — not directly declared by DevToolkit.
DEP-0345,APP-007,click,4.12.2,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency click:4.12.2 has CVE-2024-1039 (CVSS 6.0). Inherited via dependency chain — not directly declared by DevToolkit.
DEP-0346,APP-007,pydantic,3.6.6,False,NONE,NONE,No issues detected
DEP-0347,APP-007,uvicorn,1.4.8,False,NONE,NONE,No issues detected
DEP-0348,APP-007,pyyaml,4.11.5,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency pyyaml:4.11.5 has CVE-2024-1115 (CVSS 6.0). Inherited via dependency chain — not directly declared by DevToolkit.
DEP-0349,APP-007,black,3.6.2,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency black:3.6.2 has CVE-2023-1053 (CVSS 5.5). Inherited via dependency chain — not directly declared by DevToolkit.
DEP-0350,APP-007,jinja2,2.0.0,False,NONE,NONE,No issues detected
DEP-0351,APP-008,aws-sdk-s3,4.14.7,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library aws-sdk-s3:4.14.7 has CVE-2021-1093 (CVSS 4.1, MEDIUM). Patch available: upgrade to 3.2.0"
DEP-0352,APP-008,mockito-core,5.11.1,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library mockito-core:5.11.1 has CVE-2023-1188 (CVSS 4.6, MEDIUM). Patch available: upgrade to 4.0.0"
DEP-0353,APP-008,guava,3.9.7,True,LICENSE_CONFLICT,HIGH,Library guava uses GPL-2.0 license in proprietary application ComplianceEngine. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0354,APP-008,mysql-connector-java,2.15.0,False,NONE,NONE,No issues detected
DEP-0355,APP-008,tomcat-embed-core,5.4.2,True,UNMAINTAINED,MEDIUM,Library tomcat-embed-core:5.4.2 last updated 2024-01-30 (812 days ago). No security patches or maintenance activity.
DEP-0356,APP-008,lettuce-core,4.10.8,False,NONE,NONE,No issues detected
DEP-0357,APP-008,jedis,1.6.9,True,VULNERABLE_DEPENDENCY,LOW,"Library jedis:1.6.9 has CVE-2024-1178 (CVSS 1.0, LOW). Patch available: upgrade to 5.0.0"
DEP-0358,APP-008,postgresql-jdbc,3.6.3,True,VULNERABLE_DEPENDENCY,LOW,"Library postgresql-jdbc:3.6.3 has CVE-2023-1011 (CVSS 0.6, LOW). Patch available: upgrade to 2.8.0"
DEP-0359,APP-008,spring-security-core,4.0.8,True,VULNERABLE_DEPENDENCY,LOW,"Library spring-security-core:4.0.8 has CVE-2024-1104 (CVSS 3.3, LOW). Patch available: upgrade to 3.4.0"
DEP-0360,APP-008,mocha,2.9.6,True,UNMAINTAINED,HIGH,Library mocha:2.9.6 last updated 2020-04-29 (2183 days ago). No security patches or maintenance activity.
DEP-0361,APP-008,commons-collections4,1.10.2,False,NONE,NONE,No issues detected
DEP-0362,APP-008,commander,5.7.7,True,UNMAINTAINED,HIGH,Library commander:5.7.7 last updated 2022-08-09 (1351 days ago). No security patches or maintenance activity.
DEP-0363,APP-008,boto3,1.8.8,True,VULNERABLE_DEPENDENCY,LOW,"Library boto3:1.8.8 has CVE-2026-1005 (CVSS 3.6, LOW). Patch available: upgrade to 3.13.0"
DEP-0364,APP-008,logback-classic,3.5.3,True,UNMAINTAINED,HIGH,Library logback-classic:3.5.3 last updated 2022-08-09 (1351 days ago). No security patches or maintenance activity.
DEP-0365,APP-008,hibernate-core,3.6.9,False,NONE,NONE,No issues detected
DEP-0366,APP-008,bouncycastle-bcprov,2.8.6,False,NONE,NONE,No issues detected
DEP-0367,APP-008,log4j-api,4.8.3,False,NONE,NONE,No issues detected
DEP-0368,APP-008,h2-database,4.15.6,False,NONE,NONE,No issues detected
DEP-0369,APP-008,spring-boot-starter,3.12.2,False,NONE,NONE,No issues detected
DEP-0370,APP-008,netty-handler,3.6.1,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library netty-handler:3.6.1 has CVE-2023-1080 (CVSS 5.5, MEDIUM). Patch available: upgrade to 1.10.0"
DEP-0371,APP-008,commons-codec,1.4.1,False,NONE,NONE,No issues detected
DEP-0372,APP-008,spring-web,1.8.10,False,NONE,NONE,No issues detected
DEP-0373,APP-008,junit-jupiter,3.13.6,False,NONE,NONE,No issues detected
DEP-0374,APP-008,grpc-core,4.6.5,False,NONE,NONE,No issues detected
DEP-0375,APP-008,commons-io,4.0.9,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library commons-io:4.0.9 has CVE-2023-1070 (CVSS 6.8, MEDIUM). Patch available: upgrade to 2.11.0"
DEP-0376,APP-008,graphql,1.12.5,False,NONE,NONE,No issues detected
DEP-0377,APP-008,jackson-databind,4.2.1,False,NONE,NONE,No issues detected
DEP-0378,APP-008,micrometer-core,3.0.7,False,NONE,NONE,No issues detected
DEP-0379,APP-008,slf4j-api,3.11.6,False,NONE,NONE,No issues detected
DEP-0380,APP-008,commons-lang3,5.13.8,False,NONE,NONE,No issues detected
DEP-0381,APP-008,pgx,5.4.0,False,NONE,NONE,No issues detected
DEP-0382,APP-008,kafka-clients,3.9.6,False,NONE,NONE,No issues detected
DEP-0383,APP-008,hibernate-validator,2.7.7,False,NONE,NONE,No issues detected
DEP-0384,APP-008,jackson-annotations,3.0.1,True,VULNERABLE_DEPENDENCY,LOW,"Library jackson-annotations:3.0.1 has CVE-2021-1018 (CVSS 0.9, LOW). Patch available: upgrade to 3.6.0"
DEP-0385,APP-008,logback-core,1.5.4,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library logback-core:1.5.4 has CVE-2022-1144 (CVSS 4.2, MEDIUM). No patch available yet."
DEP-0386,APP-008,axios,3.12.5,False,NONE,NONE,No issues detected
DEP-0387,APP-008,setuptools,1.1.2,True,UNMAINTAINED,HIGH,Transitive dependency setuptools:1.1.2 last updated 2022-02-13 (1528 days ago). Unmaintained transitive risk.
DEP-0388,APP-008,httpclient,3.9.6,False,NONE,NONE,No issues detected
DEP-0389,APP-008,resilience4j,2.8.4,False,NONE,NONE,No issues detected
DEP-0390,APP-008,jetty-server,2.8.7,False,NONE,NONE,No issues detected
DEP-0391,APP-008,opentelemetry-api,1.2.8,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency opentelemetry-api:1.2.8 has CVE-2024-1042 (CVSS 8.2). Inherited via dependency chain — not directly declared by ComplianceEngine.
DEP-0392,APP-008,numpy,3.11.5,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency numpy:3.11.5 has CVE-2022-1148 (CVSS 7.4). Inherited via dependency chain — not directly declared by ComplianceEngine.
DEP-0393,APP-008,caffeine,1.3.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency caffeine:1.3.3 has CVE-2022-1085 (CVSS 5.5). Inherited via dependency chain — not directly declared by ComplianceEngine.
DEP-0394,APP-008,httpcore,2.5.4,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency httpcore:2.5.4 has CVE-2023-1149 (CVSS 6.8). Inherited via dependency chain — not directly declared by ComplianceEngine.
DEP-0395,APP-008,gson,1.7.8,False,NONE,NONE,No issues detected
DEP-0396,APP-008,mapstruct,4.5.4,False,NONE,NONE,No issues detected
DEP-0397,APP-008,log4j-core,3.1.4,True,UNMAINTAINED,HIGH,Transitive dependency log4j-core:3.1.4 last updated 2021-07-20 (1736 days ago). Unmaintained transitive risk.
DEP-0398,APP-008,aws-sdk-sqs,2.1.1,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency aws-sdk-sqs:2.1.1 has CVE-2024-1137 (CVSS 3.8). Inherited via dependency chain — not directly declared by ComplianceEngine.
DEP-0399,APP-008,disruptor,2.11.2,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency disruptor:2.11.2 has CVE-2024-1174 (CVSS 7.4). Inherited via dependency chain — not directly declared by ComplianceEngine.
DEP-0400,APP-008,netty-all,3.5.6,False,NONE,NONE,No issues detected
DEP-0401,APP-009,react-dom,1.10.9,True,UNMAINTAINED,HIGH,Library react-dom:1.10.9 last updated 2023-02-06 (1170 days ago). No security patches or maintenance activity.
DEP-0402,APP-009,yaml-go,5.15.0,True,VULNERABLE_DEPENDENCY,HIGH,"Library yaml-go:5.15.0 has CVE-2024-1112 (CVSS 7.8, HIGH). Patch available: upgrade to 2.0.0"
DEP-0403,APP-009,jest,3.13.6,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library jest:3.13.6 has CVE-2023-1197 (CVSS 9.1, CRITICAL). Patch available: upgrade to 3.0.0"
DEP-0404,APP-009,cryptography,3.6.0,False,NONE,NONE,No issues detected
